;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;;Мелкое;3;;72.02;41.28;13250056;4576415;;72.02;41.28;72.02;41.28;Джанги-Джольский район?;/icon/Oil04.png;1_286_Mailisai.txt;286;;;Джалал-Абадская область;;41.28;Эксплуатируется с 1901г В 1973г добыто 1тыс.т  нефти. <br>Учтено балансом. <br>На 01.01.2000 г. Извлекаемые запасы нефти  кат.В - 31тыс.т . <br>Плотность - 0.86г/см3<br>Вязкость - 1.5мПас<br>Сера - 0.17% <br>Парафин -5%<br>Смолы и асфальтены -37%.<br>Один пласт нефтеносных известняков Р2
;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Проявление;;;0;;72.63;41.27;13301674;4572972;;72.63;41.27;72.63;41.27;Ноокенский район;/icon/Oil04.png;2_295_Shaidanskoe.txt;295;;;Джалал-Абадская область;;41.27;Бесперспективное <br>Извлекаемые запасы нефти кат.С2 на 01.01.1965г оцениваются в 1 млн.т  <br>Карбонатно-терригенные толщи К-Р, слагающие моноклиналь с локальными флексурами. <br>Разбурены 8 скважинами глубиной до 3012м.
;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Проявление;;;0;;72.58;41.03;13296303;4530509;;72.58;40.88;72.58;40.88;Сузакский район;/icon/Oil04.png;3_339_Ak-Mechetinskoe.txt;339;;;Джалал-Абадская область;1;40.88;Характеризует дальние западные слабо нефтенасыщенные фланги месторождения Чангырташ.<br>Сведений о прогнозных ресурсах нефти не имеется.<br>Качество нефти аналогично нефти месторождения Чонгырташ.<br>Один нефтеносный карбонатно-терригенный пласт Р в сводовой части антиклинали на глубине 1784-1796 м. <br>Скважиной вскрыта вода с нефтью.
;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;2;Мелкое;3;;72.9;40.92;13323085;4533523;;72.9;40.92;72.9;40.92;Сузакский район;/icon/Oil04.png;4_349_Chigirchik.txt;349;;;Джалал-Абадская область;;40.92;Эксплуатируется с 1977 г.  <br>Степень выработаности - 2.2%. <br><br>Учтено балансом. <br>На 01.01.2000г извлекаемые запасы кат.С1 <br>нефть - 577тыс.т <br>газ растворенный кат.С1- 294млн.м3.<br><br>Плотность - 0.815г/см3  <br>вязкость - 10мПас  <br>сера - 0.07% <br>парафин - 20%  <br>смолы и асфальты -17%. <br><br>Пласт нефтеносных песчаников J в ядре антиклинали на глубине около 1км.<br>Площадь залежи 1.37 км2,  эффективная мощность - 14.3м.
;Нефть;Нефть и горючие газы;Жидкое и газообразное топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;3;Мелкое;3;;72.8;41.03;13314567;4530028;;72.8;40.88;72.8;40.88;Сузакский район;/icon/Oil04.png;5_342_Changyrtashskoe.txt;342;;;Джалал-Абадская область;1;40.88;Эксплуатируется с 1938 г. <br>В 1998г добыто 4 тыс.т  нефти. <br><br>Учтено балансом. <br>На 01.01.2000 г. извлекаемые запасы:<br>нефть: кат.А+В-368 тыс.т <br>газ растворенный кат. А+В - 18млн.м3. <br><br>Плотность - 0.87г/см3 <br>вязкость - 5.4-10.5мПас<br>сера-0.3-0.6%  <br>парафин - 8%  <br>смолы и асфальтены - 10.1-16.2%. <br><br>Два карбонатно-терригенных пласта Р эффективной мощности 5.4 и 6.2 м на глубине 100-1000 м, приуроченные к антиклинали размером 10х2.5км. <br>Площадь нефтеносности - 6.7 км2.
;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Проявление;19;Мелкое;3;;72.27;41.52;13271821;4601644;;72.27;41.52;72.27;41.52;Аксыйский район;/icon/Coal04.png;28_194_Tegenek.txt;194;;;Джалал-Абадская область;;41.52;1954-57гг  - поиски  <br>1968-79гг  - предварительная и детальная разведка(ГКЗ: В+С1+С2-47954 тыс.т )  <br>1986-89гг  - доразведка. <br><br>Эксплуатируется с 1996г <br>АО Тегенек-Комур  добыто 43тыс.т  угля, в т.ч. 1998г  - 16тыс.т . <br><br>Уголь ДВ  энерг.<br><br>Госбаланс на гл.600м  тыс.т : <br>В-31418 <br>С1-23368 <br>В+С1-54786  <br>С2-3732  <br>з/б-838 <br>Всего - 59356 <br><br>Теплота сгорания 6800-7800 ккал/кг <br>зольность- 15.17%  <br>влага - 6.49% <br>сера - 0.76% <br>летучие - 36.8% <br><br>ЮВ крыло Карасуйской антиклинали <br>В J отложениях -  шахтное поле 7.5х3.8км, угленосны отл. J1 <br>всего 7 пластов угля пологонаклонных (10-200),  кондиционный  один пласт,  мощность -17.8м.
;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;20;Мелкое;3;;72.23;41.47;13268860;4596179;;72.23;41.47;72.23;41.47;Аксыйский район;/icon/Coal04.png;29_214_Kara-Tut.txt;214;;;Джалал-Абадская область;;41.47;1955-56гг -  детальная разведка  <br>1982-85гг  - доразведка(ГКЗ: В+С1-32100тыс.т ).  <br><br>Эксплуатируется с 1983г  <br>добыто 4083тыс.т  угля, в т.ч. В 1998г  - 13тыс.т  <br><br>Уголь ДВ  энерг. <br><br>Госбаланс на гл.350м  тыс.т : <br>В-15182 <br>С1-13409 <br>В+С1-28591 <br><br>Теплота сгорания 6111-7986 ккал/кг <br>зольность - 15.8-21.7%  <br>влага - 9.49% <br>сера - 1.05% <br>летучие - 43.3% <br><br>Брахисинклиналь с пологими (15-200) крыльями площ. 7.4км2  <br>угленосны отл. J1 (ташкумырская свита)  <br>всего 3 пласта угля, один раб. Мощность 7.6м,  длина-3.9км.
;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;21;Мелкое;3;;72.2;41.4;13265836;4588863;;72.2;41.4;72.2;41.4;Аксыйский район;/icon/Coal04.png;30_221_Tashkumyr_Severny.txt;221;;;Джалал-Абадская область;;41.4;Предварительная и детальная разведка - 1939-54гг  <br>доразведка - 1955-57 и 1981г (ГКЗ А+В+С1: 36267 тыс.т, зб.11794т.т). <br><br>Эксплкатируется с  1939г, добыто 33531 тыс.т  угля, в т.ч. за 1998г 8тыс.т . <br><br>Уголь ДВ  энерг. <br><br>Госбаланс на гл.150-350м  тыс.т : <br>В-1993 <br>С1-10641 <br>заб.-11250 <br>всего 23884 <br><br>Теплота сгорания 5428 ккал/кг <br>зольность- 10.9-21.3%  <br>влага - 5.8-10.3% <br>сера - 0.75-1.48% <br>летучие-35.7-41.0% <br><br>Сев.крыло Карагундайской антиклинали <br>Угленосные отл. J1 (ташкумырская св.) образуют пологую синклинальную  складку. <br>Площадь шахтного поля 16.2 км2,  всего 7 пластов,  из них 5 кондиц. (мощность 1.0-8.2м).
;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;22;Мелкое;3;;72.23;41.35;13268446;4583219;;72.23;41.35;72.23;41.35;Аксыйский район;/icon/Coal04.png;31_226_Tashkumyr_Yuzhny.txt;226;;;Джалал-Абадская область;;41.35;Детальная разведка - 1931-34гг <br>Поиски-1943-45гг <br>эксплуатация - 1939-45гг<br><br>Добыто 3260тыс.т . угля <br><br>1956-62гг -  доразведка (ГКЗ А+В+С1+С2-47675тыс.т ). <br>1986-92гг -  доразведка  <br><br>с 1998 - эксплуатация АО Нарынгидроэнергострой,  добыто 5 тыс.т  угля. <br><br>Уголь ДВ  энерг. <br><br>Госбаланс на гл.300м  тыс.т :  <br>А-848 <br>В-8086 <br>С1-22519 <br>С2-13198 <br>заб.-55 <br>всего 44706 <br><br>Теплота сгорания 5450 ккал/кг <br>зольность- 8.3-9.04%  <br>влага - 6.3-6.9% <br>сера - 0.3-0.35% <br>летучие-35% <br><br>Юж.крыло Карагундайской антиклинаои. Отложения J залегают моноклинально с падением к Югу под углом  20-450. <br>В ташкумырской свите J1 5 углевых  пластов, из них 2 кондиц. (мощность  2.2 и 10.0м).
;Каменный уголь;Уголь;Твердое топливно- энергетическое сырье;Топливно- энергетическое сырье;Коренное месторождение;23;Мелкое;3;;72.53;41.32;13293398;4576907;;72.52;41.32;72.52;41.32;Ноокенский район;/icon/Coal04.png;32_291-1_Mailisu.txt;291-1;;;Джалал-Абадская область;;41.3;Разрабатывается с 1927г,  разведка Майлису - 1941г (С2-3600 т.т). <br>За период 1946-53гг добыто 564.4тыс.т угля. <br><br>Сары-Бия-1953г (ТКЗ: А-371тыс.т  В-463  С1-5713  С2-9017т.т). <br>1971г  - переоценка: <br>С1 - 834  <br>С2 - 14730тыс.т .<br><br>Уголь ДВ  энерг. <br><br>Госбаланс  тыс.т : <br>С1-834 <br>С2-14730 <br>С1+С2-15564 <br>кат.Р1 на глуб. 600м-75000тыс.т . <br><br>Теплота сгорания 5100 ккал/кг <br>зольность - 9.8% <br>влага - 14.1% <br>сера - 1.2% <br>летучие-43.3% <br><br>Антиклинальная  складка  субширотного простирания,  J отложения  залегают моноклинально (угол 30-500), в ташкумырской св.J1 три пласта угля,  из них 2 кондиц. (мощность 5.72 и 6.83м)
